external_id,establishment_external_id,title,description,category,original_price_cents,sale_price_cents,stock_total,stock_remaining,publish_day_offset,pickup_day_offset,pickup_start_time,pickup_end_time,dietary_tags,allergens,image_url,status,is_featured,estimated_weight_grams,impact_co2_grams
PACK-0001,EST-001,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,900,315,4,2,-1,1,19:00,21:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,true,500,900
PACK-0002,EST-001,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1025,410,5,3,0,2,18:30,20:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,false,625,1080
PACK-0003,EST-001,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1150,518,6,4,1,3,19:00,21:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,available,false,750,1260
PACK-0004,EST-001,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1275,638,7,0,2,4,18:30,20:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,sold_out,false,875,1440
PACK-0005,EST-001,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1400,490,8,6,3,5,19:00,21:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,cancelled,false,1000,1620
PACK-0006,EST-002,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1525,610,9,7,4,6,19:00,21:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,available,false,1125,1800
PACK-0007,EST-002,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,1650,742,10,8,5,7,18:30,20:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,false,1250,1980
PACK-0008,EST-002,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1775,888,4,2,6,8,19:00,21:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,true,1375,2160
PACK-0009,EST-002,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1900,665,5,0,7,9,18:30,20:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,sold_out,false,500,2340
PACK-0010,EST-002,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,900,360,6,4,8,10,19:00,21:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,cancelled,false,625,2520
