external_id,owner_external_id,name,slug,category,description,street,city,postal_code,latitude,longitude,phone,image_url,opening_time,closing_time,tags,is_verified,is_active
EST-001,USR-PAR-001,Miga Serena,miga-serena,bakery,Miga Serena recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Luna, 12",Madrid,28010,40.4008,-3.7278,933000001,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,09:00,22:00,local|recogida_rapida|sostenible,true,true
EST-002,USR-PAR-001,La Huerta Circular,la-huerta-circular,greengrocer,La Huerta Circular recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Olivo, 13",Barcelona,08011,41.3794,2.1526,933000002,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,08:00,20:30,local|recogida_rapida|artesano,true,true
EST-003,USR-PAR-002,Cuchara de Barrio,cuchara-de-barrio,restaurant,Cuchara de Barrio recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Mercado, 14",Valencia,46012,39.4699,-0.3843,933000003,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,09:00,20:30,local|recogida_rapida|sostenible,true,true
EST-004,USR-PAR-002,Pan y Punto,pan-y-punto,cafe,Pan y Punto recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Río, 15",Sevilla,41013,37.3971,-5.9845,933000004,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,08:00,22:00,local|recogida_rapida|artesano,true,true
EST-005,USR-PAR-003,Mercado Nativo,mercado-nativo,supermarket,Mercado Nativo recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Sol, 16",Málaga,29014,36.7373,-4.4134,933000005,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,09:00,20:30,local|recogida_rapida|sostenible,true,true
EST-006,USR-PAR-003,Café Horizonte,cafe-horizonte,prepared_food,Café Horizonte recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Jardín, 17",Bilbao,48015,43.247,-2.919,933000006,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,08:00,20:30,local|recogida_rapida|artesano,true,true
EST-007,USR-PAR-004,Verde Cerca,verde-cerca,bakery,Verde Cerca recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Luna, 18",Zaragoza,50016,41.6408,-0.8651,933000007,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,09:00,22:00,local|recogida_rapida|sostenible,true,true
EST-008,USR-PAR-004,Casa Tomillo,casa-tomillo,greengrocer,Casa Tomillo recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Olivo, 19",Alicante,03017,38.3452,-0.505,933000008,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,08:00,20:30,local|recogida_rapida|artesano,true,true
EST-009,USR-PAR-005,El Obrador Vivo,el-obrador-vivo,restaurant,El Obrador Vivo recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Mercado, 20",Madrid,28018,40.4248,-3.7198,933000009,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,09:00,20:30,local|recogida_rapida|sostenible,true,true
EST-010,USR-PAR-005,Fruta Franca,fruta-franca,cafe,Fruta Franca recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Río, 21",Barcelona,08019,41.4034,2.1606,933000010,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,08:00,22:00,local|recogida_rapida|artesano,true,true
EST-011,USR-PAR-006,Mesa Abierta,mesa-abierta,supermarket,Mesa Abierta recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Sol, 22",Valencia,46020,39.4539,-0.3763,933000011,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,09:00,20:30,local|recogida_rapida|sostenible,true,true
EST-012,USR-PAR-006,Trigo y Sol,trigo-y-sol,prepared_food,Trigo y Sol recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Jardín, 23",Sevilla,41021,37.3811,-5.9765,933000012,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,08:00,20:30,local|recogida_rapida|artesano,true,true
EST-013,USR-PAR-007,La Despensa Clara,la-despensa-clara,bakery,La Despensa Clara recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Luna, 24",Málaga,29022,36.7213,-4.4054,933000013,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,09:00,22:00,local|recogida_rapida|sostenible,true,true
EST-014,USR-PAR-007,Brasa Vecina,brasa-vecina,greengrocer,Brasa Vecina recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Olivo, 25",Bilbao,48023,43.271,-2.911,933000014,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,08:00,20:30,local|recogida_rapida|artesano,true,true
EST-015,USR-PAR-008,Origen Café,origen-cafe,restaurant,Origen Café recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Mercado, 26",Zaragoza,50024,41.6648,-0.9131,933000015,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,09:00,20:30,local|recogida_rapida|sostenible,true,true
EST-016,USR-PAR-008,Raíz Urbana,raiz-urbana,cafe,Raíz Urbana recupera cada día alimentos en perfecto estado para compartirlos con su barrio.,"Calle Río, 27",Alicante,03025,38.3292,-0.497,933000016,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,08:00,22:00,local|recogida_rapida|artesano,true,true
